epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,4.6808,33.17846457206843,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.25,5.1932,33.24715437086308,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.5,4.5758,33.70609224398462,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.75,5.2037,32.595395477122224,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,1.0,4.7543,33.15848204471972,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.0,4.7984,33.123516682864455,0.0002703889511691227,0.0011383751064417437,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.25,5.5964,33.276840400494756,0.00027173416722933957,0.0011360985896582852,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.5,5.21,33.44938116019488,0.0002714791254886748,0.0011399260572140433,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.75,4.6472,33.35311577888938,0.0002648312302771632,0.0011273962743333214,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,1.0,5.2959,31.373491090250063,0.019037040134939502,0.05758806170436599,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,0.0,5.2247,33.590716126781224,0.0010768554136520614,0.004481210144759465,10.0,0.0,0.0,0.0
0.0,0.5204081632653061,0.25,5.4515,33.404114233878445,0.0010771310718162078,0.004480627442480721,10.0,0.0,0.0,0.0
0.0,0.5204081632653061,0.5,5.4494,33.691370403116586,0.001102664172888082,0.00450387529442209,10.0,0.0,0.0,0.0
0.0,0.5204081632653061,0.75,6.537,31.867394480879675,0.01959290005994961,0.06034390100503707,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,1.0,6.4026,31.684202897343024,0.019587644203905737,0.06035125872096923,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,0.0,5.1659,33.62517475330054,0.002395694322954189,0.009837971141447164,10.0,0.0,0.0,0.0
0.0,0.5306122448979592,0.25,5.8757,33.58530407053061,0.002427395747408519,0.009830940125256645,10.0,0.0,0.0,0.0
0.0,0.5306122448979592,0.5,5.525,33.470963162120086,0.0024290952835618203,0.009860535400025917,10.0,0.0,0.0,0.0
0.0,0.5306122448979592,0.75,7.3098,31.709983033108042,0.020449790261651366,0.0645676547840735,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,1.0,7.9545,31.775572846921264,0.02063473645287167,0.0645245434031908,1.0,0.0,1.0,0.0
0.0,0.5408163265306123,0.0,5.0441,33.43088923720097,0.004080002473073773,0.01676641748784561,10.0,0.0,0.0,0.0
0.0,0.5408163265306123,0.25,6.0101,33.72175259368944,0.0041973633671907595,0.016881719981674686,10.0,0.0,0.0,0.0
0.0,0.5408163265306123,0.5,6.2705,33.671060716140204,0.004252029504030672,0.01696672509224415,10.0,0.0,0.0,0.0
0.0,0.5408163265306123,0.75,8.4018,32.217575277478595,0.02169526102618128,0.06980857109937877,1.0,0.0,1.0,0.0
0.0,0.5408163265306123,1.0,8.7729,30.72850347137003,0.03209243681532777,0.09331648717936038,1.0,0.0,1.0914,0.193251235442364
0.0,0.5510204081632653,0.0,6.9719,33.696218042830864,0.006530286160899741,0.025309823682129366,10.0,0.0,0.0,0.0
0.0,0.5510204081632653,0.25,6.9068,33.84816558929006,0.006538058566403669,0.025368869062075465,10.0,0.0,0.0,0.0
