epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,-0.378,31.72975127541973,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.25,-0.058,31.94051715298298,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.5,-0.338,31.46308560837605,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,0.75,-0.074,31.616997390644162,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5,1.0,0.158,31.62807354234526,0.0,0.0,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.0,-0.658,31.887411873653214,0.00026619354931000364,0.0011288102429905936,10.0,0.0,0.0,0.0
0.0,0.5102040816326531,0.25,0.82,28.6392667503901,0.021145453565757494,0.060201870528008,1.0,0.0,1.0,0.0
0.0,0.5102040816326531,0.5,0.764,28.608675327599496,0.02113865669400905,0.06020386437580842,1.0,0.0,1.0,0.0
0.0,0.5102040816326531,0.75,1.082,28.35329391799126,0.02117089610632433,0.06019319477289043,1.0,0.0,1.0,0.0
0.0,0.5102040816326531,1.0,1.194,28.16051071980052,0.0211744400627236,0.060192001422940046,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,0.0,0.468,31.932757099880998,0.0010873425005124232,0.004491648555065419,10.0,0.0,0.0,0.0
0.0,0.5204081632653061,0.25,2.022,28.701768516939858,0.02169979886859707,0.06275820478516629,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,0.5,1.572,28.256128821903403,0.02164507224384095,0.0627778253634884,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,0.75,1.794,28.20676450782684,0.021706394443998387,0.06275557867463763,1.0,0.0,1.0,0.0
0.0,0.5204081632653061,1.0,1.462,28.358817958441072,0.021639892954742047,0.0627776139531076,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,0.0,-0.038,32.073019128233,0.0023597728916919347,0.009789381002092245,10.0,0.0,0.0,0.0
0.0,0.5306122448979592,0.25,2.658,28.944343765233302,0.022613219534108178,0.0666887170892967,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,0.5,2.822,28.971646760237846,0.022638922761234984,0.06668114666868681,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,0.75,2.798,28.450152829114998,0.022654151570418102,0.06668048998901674,1.0,0.0,1.0,0.0
0.0,0.5306122448979592,1.0,2.446,28.479766220950626,0.02253763433765284,0.06670805629916209,1.0,0.0,1.0,0.0
0.0,0.5408163265306123,0.0,1.19,32.082143008221884,0.004246020676447249,0.01691750582475658,10.0,0.0,0.0,0.0
0.0,0.5408163265306123,0.25,3.208,29.00118507923426,0.023681495686827758,0.07167839770199683,1.0,0.0,1.0,0.0
0.0,0.5408163265306123,0.5,2.91,28.87857164057807,0.02413526326580682,0.07240426326297103,1.0518,0.31767398382618617,1.0,0.0
0.0,0.5408163265306123,0.75,3.22,28.477914249467077,0.024941419889963626,0.07371123707667776,1.0849,0.3466150458361552,1.0,0.0
0.0,0.5408163265306123,1.0,3.264,28.444793970074738,0.024915473512679264,0.07355850670958618,1.0822,0.34138418241037477,1.0,0.0
0.0,0.5510204081632653,0.0,1.882,32.36569288614103,0.006550674710232861,0.025314048377237386,10.0,0.0,0.0,0.0
0.0,0.5510204081632653,0.25,4.524,28.96365695142794,0.026258238786293638,0.07785913616741037,1.0504,0.31346425633555103,1.0,0.0
0.0,0.5510204081632653,0.5,4.146,28.538582375443948,0.026472298859259762,0.07892815989178628,1.0804,0.33783996211224043,1.0,0.0
0.0,0.5510204081632653,0.75,4.428,28.533363208707105,0.02765689932441978,0.0810746869710726,1.1078,0.31012765113739854,1.0,0.0
0.0,0.5510204081632653,1.0,3.568,28.540311420865752,0.02732940510055497,0.08130051452769899,1.1113,0.3145032750226935,1.0,0.0
0.0,0.5612244897959183,0.0,1.618,32.62854694895254,0.009054263833128535,0.03450591100329216,10.0,0.0,0.0,0.0
0.0,0.5612244897959183,0.25,5.144,29.399647344823713,0.028344219511978064,0.08474887972550363,1.0798,0.3366481249019515,1.0,0.0
0.0,0.5612244897959183,0.5,5.082,29.292546423962527,0.029464519848420273,0.08672527642688256,1.1102,0.3131388829257714,1.0,0.0
0.0,0.5612244897959183,0.75,5.104,28.65011664897719,0.02943498248697292,0.08666645165549394,1.1063,0.308221203034444,1.0,0.0
0.0,0.5612244897959183,1.0,4.958,28.695962015586794,0.029388028599054546,0.08688595711959403,1.1084,0.3108849304807166,1.0,0.0
0.0,0.5714285714285714,0.0,2.786,32.957521205333386,0.01225486744345807,0.04496891837840469,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.25,5.846,29.680031738527504,0.030268792443762883,0.09110576201371508,1.07995,0.33694657959385793,1.0,0.0
0.0,0.5714285714285714,0.5,6.092,28.937303537130063,0.033142418771245144,0.09434229456437605,1.2573,0.5869384209608364,1.0,0.0
0.0,0.5714285714285714,0.75,6.512,28.81794329927103,0.033410120035625664,0.09434358152787033,1.2532,0.585226246848174,1.0,0.0
0.0,0.5714285714285714,1.0,5.878,28.317646724260122,0.03588967225042527,0.09909867805305628,1.21135,0.4678741043272217,1.0,0.0
0.0,0.5816326530612245,0.0,3.998,33.16467994719684,0.01583383284749992,0.05563239288736688,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,0.25,6.472,29.232058018552166,0.03491233452285605,0.10066426553771803,1.2653,0.5935620523584708,1.0,0.0
0.0,0.5816326530612245,0.5,6.904,29.280962825699564,0.03512035423325505,0.10054900728962972,1.2547,0.5850024871741999,1.0,0.0
0.0,0.5816326530612245,0.75,7.148,28.606749133727163,0.03694576685350872,0.10367620626427408,1.21235,0.46976853608984925,1.0,0.0
0.0,0.5816326530612245,1.0,7.3,28.81371201355355,0.03713414596433917,0.103638131970457,1.20755,0.45770951213624567,1.0,0.0
0.0,0.5918367346938775,0.0,4.978,33.224983310755775,0.019347929745345556,0.06646369080928684,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,0.25,7.308,28.99850230615367,0.037411622967343273,0.10700884117302739,1.253,0.5839443466632758,1.0,0.0
0.0,0.5918367346938775,0.5,7.772,28.692786828748442,0.03905480173845823,0.10996836078559676,1.20085,0.4457401457127235,1.0,0.0
0.0,0.5918367346938775,0.75,8.286,28.92787935539002,0.04044695996190496,0.11120663365030761,1.2564,0.46385239031398773,1.0,0.0
0.0,0.5918367346938775,1.0,7.476,29.085209712154388,0.03958369787113842,0.1113498469057277,1.2615,0.4698592874467844,1.0,0.0
0.0,0.6020408163265306,0.0,6.148,33.471810467914636,0.02306382223529429,0.07725337651446015,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,0.25,8.31,29.996398117107326,0.03888401434747152,0.11206099757004528,1.1051,0.30668222967756054,1.0,0.0
0.0,0.6020408163265306,0.5,8.75,28.878322319691634,0.042588011037305556,0.1174280808670589,1.2527,0.45884933257007143,1.0,0.0
0.0,0.6020408163265306,0.75,8.71,29.561053770121255,0.042691876763850826,0.11719745189742836,1.25715,0.46075902324317,1.0,0.0
0.0,0.6020408163265306,1.0,8.47,28.7982482106117,0.0423463249829772,0.11762502338070725,1.25965,0.46830212203234783,1.0,0.0
0.0,0.6122448979591837,0.0,7.194,34.204771070714685,0.027610865229227788,0.0880674051624097,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,0.25,9.772,30.853654824023685,0.040185896707432334,0.11644418056076922,1.0,0.0,1.0,0.0
0.0,0.6122448979591837,0.5,10.096,29.307862153354005,0.04557771543025873,0.1232788652010722,1.2485,0.45309794746831505,1.0,0.0
0.0,0.6122448979591837,0.75,10.092,29.540337438830996,0.04547262756732541,0.12325785534012876,1.24385,0.4472272101516186,1.0,0.0
0.0,0.6122448979591837,1.0,8.94,29.48349368714637,0.044509104244379274,0.1237502207681809,1.25585,0.4594733697397489,1.0,0.0
0.0,0.6224489795918368,0.0,8.644,34.58209455773319,0.03173487017752239,0.09783827938936511,10.0,0.0,0.0,0.0
0.0,0.6224489795918368,0.25,11.01,29.6475951807225,0.047785935439972234,0.12963644287371504,1.2408,0.4505167699431399,1.0,0.0
0.0,0.6224489795918368,0.5,10.262,29.890656667259755,0.047348128424677144,0.12953655199667335,1.25645,0.4638516977440096,1.0,0.0
0.0,0.6224489795918368,0.75,10.594,29.86314055821993,0.04768973404350532,0.12946395763609356,1.24735,0.4555688504496329,1.0,0.0
0.0,0.6224489795918368,1.0,10.572,29.55525022732848,0.047696612381197614,0.12955181825945405,1.2508,0.4634105738974889,1.0,0.0
