epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,-0.15,14.060494301410603,0.08925962890999424,0.18161136327009253,1.0,0.0,4.0,0.0
0.0,0.5,0.25,0.056,14.002744873773857,0.08953635793824267,0.18094511411858377,1.0,0.0,4.0,0.0
0.0,0.5,0.5,0.118,14.207958192506059,0.08949472467201668,0.1819553359068426,1.0,0.0,4.0,0.0
0.0,0.5,0.75,0.082,14.043976502401305,0.09005183597303155,0.18100803246198927,1.0,0.0,4.0,0.0
0.0,0.5,1.0,0.066,14.157529586760536,0.08992937704110099,0.18131872245765301,2.0,0.0,4.0,0.0
0.0,0.5102040816326531,0.0,0.254,14.17799294681726,0.08930649514860708,0.1811014273773098,1.0,0.0,4.0,0.0
0.0,0.5102040816326531,0.25,0.142,14.140008345117764,0.08928544851650293,0.18121981529000725,1.0,0.0,4.0,0.0
0.0,0.5102040816326531,0.5,0.04,14.119433416394584,0.09004316380523725,0.1811889046104774,1.0,0.0,4.0,0.0
0.0,0.5102040816326531,0.75,0.312,14.279448728855044,0.09024762831723183,0.18105240106211556,1.0,0.0,4.0,0.0
0.0,0.5102040816326531,1.0,0.318,14.108822629829888,0.08973024893869191,0.181805291643856,1.0,0.0,2.8566,0.9896648119439229
0.0,0.5204081632653061,0.0,0.634,14.041297803265907,0.08896605708513365,0.18175557777782336,1.0,0.0,4.0,0.0
0.0,0.5204081632653061,0.25,0.408,14.144735275006033,0.09044210280217528,0.18108470970387547,1.0,0.0,4.0,0.0
0.0,0.5204081632653061,0.5,0.568,14.113730052682742,0.09074146480661321,0.18062234808797167,1.0,0.0,4.0,0.0
0.0,0.5204081632653061,0.75,0.666,14.144838069062509,0.09005745047347126,0.18076376634488844,1.0,0.0,4.0,0.0
0.0,0.5204081632653061,1.0,0.326,14.00905864075099,0.08978247617942937,0.1812933295951426,2.0,0.0,4.0,0.0
0.0,0.5306122448979592,0.0,0.918,14.192860035947652,0.08944819211542542,0.18170946563782306,1.0,0.0,4.0,0.0
0.0,0.5306122448979592,0.25,0.776,14.055526457589554,0.08994958153056856,0.1815759442517282,1.0,0.0,4.0,0.0
0.0,0.5306122448979592,0.5,0.982,14.052603886824675,0.09008453853708746,0.18141430853207663,1.0,0.0,4.0,0.0
0.0,0.5306122448979592,0.75,0.848,14.159127656744959,0.09007121682973798,0.18090729915503867,1.0,0.0,4.0,0.0
0.0,0.5306122448979592,1.0,0.786,13.987930654675122,0.09073374551438937,0.1808486807094713,1.0,0.0,3.2488,0.9685548822859755
0.0,0.5408163265306123,0.0,1.15,14.212582453586682,0.09106473584662227,0.1812270158896478,1.0,0.0,4.0,0.0
0.0,0.5408163265306123,0.25,0.814,14.210468113331101,0.09013453942436624,0.18151820777643587,1.0,0.0,4.0,0.0
0.0,0.5408163265306123,0.5,1.06,14.122195296766009,0.09011651760228669,0.18110827435933002,1.0,0.0,4.0,0.0
0.0,0.5408163265306123,0.75,1.486,14.161631403196456,0.08991336470078551,0.18178347680129048,1.0,0.0,4.0,0.0
0.0,0.5408163265306123,1.0,0.944,14.206648584377668,0.09028411446037975,0.18118772003454148,1.0,0.0,2.0,0.0
0.0,0.5510204081632653,0.0,1.392,14.101855764402075,0.08996494298292126,0.18183438799368065,1.0,0.0,4.0,0.0
0.0,0.5510204081632653,0.25,1.414,14.171824300350327,0.09074295220642592,0.18128968220385291,1.0,0.0,4.0,0.0
0.0,0.5510204081632653,0.5,1.45,14.094591161151143,0.09045577224568342,0.18162113526279625,1.0,0.0,4.0,0.0
0.0,0.5510204081632653,0.75,1.432,14.12619467514164,0.0896076855326779,0.18182623327116257,1.0,0.0,4.0,0.0
0.0,0.5510204081632653,1.0,1.072,14.225709683527217,0.09027189396851441,0.18169209842839718,1.0,0.0,2.0,0.0
0.0,0.5612244897959183,0.0,1.596,14.108606734897673,0.09025667858251755,0.1815505912411611,1.0,0.0,4.0,0.0
0.0,0.5612244897959183,0.25,1.88,13.85299967516061,0.0900919261230247,0.18212570025537972,1.0,0.0,4.0,0.0
0.0,0.5612244897959183,0.5,1.746,14.174324816371325,0.08977098295157823,0.18290414206526356,1.0,0.0,4.0,0.0
0.0,0.5612244897959183,0.75,1.674,14.23087221501198,0.09034844733997817,0.1822537519480881,1.0,0.0,4.0,0.0
0.0,0.5612244897959183,1.0,1.594,14.14422723233758,0.09066617278489861,0.1819510116431711,1.0,0.0,2.0,0.0
0.0,0.5714285714285714,0.0,1.926,14.026065877501075,0.09126976801493569,0.18229569987084018,1.0,0.0,4.0,0.0
0.0,0.5714285714285714,0.25,2.004,14.130250670104902,0.08945923783229114,0.1827996146128496,1.0,0.0,4.0,0.0
0.0,0.5714285714285714,0.5,1.872,14.077486139222444,0.09123117297962755,0.18200078530217997,1.0,0.0,4.0,0.0
0.0,0.5714285714285714,0.75,2.084,14.0789539384146,0.09078616340890061,0.1821438010872847,1.0,0.0,4.0,0.0
0.0,0.5714285714285714,1.0,1.096,14.085410324161664,0.09128359826025402,0.18144712633268478,2.0,0.0,4.0,0.0
0.0,0.5816326530612245,0.0,2.404,14.152765948746556,0.09047507819447968,0.1828646634178971,1.0,0.0,4.0,0.0
0.0,0.5816326530612245,0.25,2.358,14.085447667717204,0.09147169153600895,0.18221203321118115,1.0,0.0,4.0,0.0
0.0,0.5816326530612245,0.5,2.24,14.012223235446971,0.09066066922154632,0.18266493434009812,1.0,0.0,4.0,0.0
0.0,0.5816326530612245,0.75,2.216,14.078684029411273,0.0911766748989185,0.1825908036663874,1.0,0.0,4.0,0.0
0.0,0.5816326530612245,1.0,2.178,14.131394694084516,0.0911651499583504,0.18170346195637652,1.0,0.0,4.0,0.0
0.0,0.5918367346938775,0.0,2.822,13.988435080451278,0.09090954285838701,0.18353164785547205,1.0,0.0,4.0,0.0
0.0,0.5918367346938775,0.25,2.722,13.991094167362322,0.09068866529347856,0.1829994980790043,1.0,0.0,4.0,0.0
0.0,0.5918367346938775,0.5,2.74,13.968979919808032,0.09162112803346983,0.18269631857449667,1.0,0.0,4.0,0.0
0.0,0.5918367346938775,0.75,2.57,14.09663435008513,0.0913002290803729,0.18305422012931377,1.0,0.0,4.0,0.0
0.0,0.5918367346938775,1.0,2.354,13.946278500015694,0.09040794092595758,0.18305240745665893,1.0,0.0,2.0,0.0
0.0,0.6020408163265306,0.0,2.946,14.039981623919598,0.09130792255547161,0.1831683815202166,1.0,0.0,4.0,0.0
0.0,0.6020408163265306,0.25,2.9,14.138953285162236,0.09161034318777893,0.18389027214367706,1.0,0.0,4.0,0.0
0.0,0.6020408163265306,0.5,2.622,14.10975251377571,0.09112671892757437,0.18365460905093395,1.0,0.0,4.0,0.0
0.0,0.6020408163265306,0.75,2.802,14.043817002510394,0.09139594770171557,0.1839888789777507,1.0,0.0,4.0,0.0
0.0,0.6020408163265306,1.0,2.59,13.970393695239943,0.09149674256782127,0.18357256177040268,1.0,0.0,2.0,0.0
0.0,0.6122448979591837,0.0,3.404,14.023294334784532,0.09199361256058866,0.1841348541193165,1.0,0.0,4.0,0.0
0.0,0.6122448979591837,0.25,3.466,14.018089884146129,0.09260184952001119,0.1829737992370005,1.0,0.0,4.0,0.0
0.0,0.6122448979591837,0.5,3.278,14.128507210600842,0.09285417172911087,0.18335808889660946,1.0,0.0,4.0,0.0
0.0,0.6122448979591837,0.75,3.238,13.978388891428082,0.09112784963380814,0.18403908639426877,1.0,0.0,4.0,0.0
0.0,0.6122448979591837,1.0,2.73,13.920743514625935,0.0927615642239499,0.18330986825115178,1.0,0.0,3.2674,0.9635856163310037
0.0,0.6224489795918368,0.0,3.268,14.02427096144395,0.09299623141520036,0.18415204510591304,1.0,0.0,4.0,0.0
